city,county,zipcode,overall_risk,overall_points,county_voter_reg,county_voter_turnout,county_prop_mail_vote,county_n_precincts,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_college_2008_12,county_unemployment,county_per_cap_gdp,county_pop,county_per_cap_income,county_per_cap_1099_income,county_n_jobs,county_avg_wage,county_med_age,county_prop_m,county_per_cap_precints,good_pension_health,is_county_job_center
Adelanto,San Bernardino,92301,Moderate,47.91,0.6748090460761734,0.5012,0.37189999999999995,1391,0.17,2.45,0.63,0.24,0.01,0.99,0.01,0.01,0.06,0,6025008,9510684,87865771,35888971,-0.22,3343368,19516234,5731392,5330502,3343368,8817151,10028361,13290197,212219,0,10750768,10820212,291674,320287.01,2077059,0.18600000000000003,0.081,34.97512395601215,2003735,29988,4061,885185,41008,31.7,0.4970037489988748,6.942035748240162e-4,TRUE,FALSE
Agoura Hills,Los Angeles,91301,Low,84.79,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.69,0.66,6.38,0.05,0.21,0.79,0.02,0.04,0.05,0.58,8458172,1324741,14294955,21498499,0.06,10736584,15518095,9673733,10160346,10736584,14444880,15178539,15994083,4479822,0,16619716,21014525,443161,879860.94,1044000,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Alameda,Alameda,94501,Moderate,60.49,0.8130188885559002,0.6364,0.4833,1041,0.37,0.39,6.25,0.07,1.07,0.66,0.07,0.13,0.41,0.1,38800355,6203617,98100747,249618378,0.03,40426963,110738131,39609079,48820249,40426963,85635629,89608872,97332735,267509627,0,492132792,750220024,17181092,32501114.15,102956607,0.41100000000000003,0.062,62.71487156852657,1477208,48524,8583,903624,60165,36.6,0.4903576907720535,7.047078001202269e-4,FALSE,TRUE
Alhambra,Los Angeles,91802,Moderate,60.14,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.39,0.37,3.28,0.04,1.15,0.71,0.1,0.15,0.19,0,16871235,5148475,45317524,122535914,0.04,24968370,64760335,22949740,23248704,24968370,60667370,63229195,65023238,140681137,0,325547394,461713970,12048809,18579974.73,23641000,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Aliso Viejo,Orange,92656,Low,92.52,0.8640684252298959,0.6275,0.4654,2109,1.78,0.01,15.11,0.11,0.04,0.84,0.01,0.01,0.03,0,29971042,1983717,174741,25385215,0.13,30335238,17019323,23800171,26935544,30335238,16559243,18675228,20217610,1041373,0,5049753,5978037,270996,330774.08,650474,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,TRUE,TRUE
Alturas,Modoc,96101,Moderate,69.86,0.7980002898130706,0.6528,0.31829999999999997,20,0.41,0.7,14.49,0.03,0.75,0.74,0.06,0.11,NA,NA,449104,30996,3069457,4388141,0.22,585872,1440937,424161,650015,585872,1319017,1457854,1376792,3278160,0,8992826,12232697,268500,482904.96,NA,0.19399999999999998,0.09699999999999999,38.41137053711653,9551,33061,5674,4268,31980,46.1,0.503613462729713,0.0020940215684221546,FALSE,FALSE
American Canyon,Napa,94503,Low,72.07,0.7790353151347466,0.6576000000000001,0.275,147,0.38,0.25,1.36,0.03,0.25,0.77,0.03,0.02,0.12,0.46,2845544,2093876,14789506,59567694,-0.05,7878782,20750223,8899871,7535199,7878782,18420124,17892356,19247202,14854382,0,23824676,31103851,1718705,1419528.36,7014020,0.312,0.051,60.91912329502659,134093,47613,12170,91679,46528,39.7,0.49939187010931685,0.001096254092309069,FALSE,TRUE
Anaheim,Orange,92805,Moderate,48.33,0.8640684252298959,0.6275,0.4654,2109,0.13,1.7,2.22,0.06,0.64,0.71,0.05,0.1,0.15,0.31,40872000,18434000,2077467000,1224278000,0.06,52564000,410602000,47292000,44392000,52564000,349420000,365976000,389799000,777745000,0,1897117860,2658142985,66792000,116623490.81,186652000,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
Anderson,Shasta,96007,Moderate,66.39,0.735475342080671,0.6183,0.5178,150,0.35,0.34,3.31,0.03,1.05,0.73,0.07,0.14,NA,NA,1430694,432741,4367444,12980666,0.12,2957093,8438488,2492285,3425688,2957093,7571478,7798830,8001944,11612376,2010350,31842166,43401176,937692,1784979.56,NA,0.193,0.10099999999999999,36.57339757513526,177247,32788,5850,90773,37062,41.8,0.49164047555904145,8.462766647672457e-4,FALSE,FALSE
Angels Camp,Calaveras,95222,Moderate,70.87,0.8044205157268348,0.6684,0.5853,30,0.46,0.47,5.31,0.1,0.56,0.74,0.06,0.08,0.35,0.01,1149292,216555,4575175,9827390,0.16,1549696,3388089,1192416,1169285,1549696,2851954,3024334,3419248,5454668,0,15099850,20411943,620116,835071.73,3413396,0.20800000000000002,0.087,23.327461363881984,46265,36299,8488,16738,33340,49.2,0.5007240335249462,6.484383443207608e-4,FALSE,FALSE
