city,county,zipcode,overall_risk,overall_points,county_voter_reg,county_voter_turnout,county_prop_mail_vote,county_n_precincts,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_unemployment_5yr,county_unemployment,county_per_cap_gdp,county_pop,county_per_cap_income,county_n_jobs,county_avg_wage,county_med_age,county_prop_m,county_college,county_per_cap_precints,good_pension_health,is_county_job_center
Adelanto,San Bernardino,92301,High,39.59,0.6748090460761734,0.5012,0.37189999999999995,1391,-0.08,2.28,0.15,0.16,0,0.98,0.01,0.01,0.05,0,837296,5497480,86621383,38035335,-0.96,-1852634,23282930,5330502,3343368,-1852634,10028361,13290197,13131001,70046,0,11564626,11840869,202155,310033.48,2067483,0.0736,0.132,32.66023903155971,2013960,28932,846942,41414,31.7,0.4970049376395145,0.18600000000000003,6.906790601600827e-4,TRUE,FALSE
Agoura Hills,Los Angeles,91301,Low,79.59,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.54,0.52,3.64,0.05,0.16,0.78,0.02,0.04,0.04,0.63,7318379,2009121,14000111,26987762,-0.03,9587957,17832392,10160346,10736584,9587957,15178539,15994083,16591561,4394714,0,17742700,22644512,525812,1005522.97,1005573,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,FALSE,TRUE
Alameda,Alameda,94501,Moderate,59.93,0.8130188885559002,0.6364,0.4833,1041,0.38,0.36,4.05,0.06,0.98,0.66,0.1,0.14,0.39,0.12,35563557,8788248,93239582,260607420,-0.1,39618996,104306360,48820249,40426963,39618996,89608872,97332735,99639351,256284556,0,515898779,784229460,25154606,35561547.06,101811835,0.0622,0.107,58.94504247136711,1498539,45854,864535,60411,36.6,0.49035860098075956,0.41100000000000003,6.946766150230325e-4,FALSE,TRUE
Albany,Alameda,94706,Moderate,46.37,0.8130188885559002,0.6364,0.4833,1041,0.16,0.75,1.75,NA,0.99,0.71,0.08,0.14,0.1,0,6465667,3697893,27431566,36370469,NA,3243041,20725079,NA,NA,3243041,NA,NA,20481005,35842452,0,95339099,133377319,2808899,5252418.75,3771010,0.0622,0.107,58.94504247136711,1498539,45854,864535,60411,36.6,0.49035860098075956,0.41100000000000003,6.946766150230325e-4,FALSE,TRUE
Alhambra,Los Angeles,91802,Moderate,59.08,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.37,0.4,3.97,0.03,1.07,0.7,0.11,0.16,0.19,0,20564531,5179806,50320587,126128158,0.05,25558005,68238973,23248704,24968370,25558005,63229195,65023238,66612073,134554225,0,340696822,485047194,13602445,19634378.89,23908045,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,FALSE,TRUE
Aliso Viejo,Orange,92656,Low,91.79,0.8640684252298959,0.6275,0.4654,2109,1.77,0.05,20.08,0.04,0.03,0.87,0.01,0.01,0.03,0,30738079,1530688,1428304,27807128,0.1,32375144,18315842,26935544,30335238,32375144,18675228,20217610,20264249,928264,0,5810309,6683730,239511,382666.61,778458,0.0504,0.09,61.05356160682812,2987177,46620,1899261,52787,36.2,0.4945764175276148,0.366,7.060177552250837e-4,TRUE,TRUE
Alturas,Modoc,96101,Moderate,66.43,0.7980002898130706,0.6528,0.31829999999999997,20,0.34,0.57,8.52,-0.02,0.65,0.73,0.05,0.11,NA,NA,329859,38697,2874874,5008239,-0.12,511715,1506875,650015,585872,511715,1457854,1376792,1417345,3239374,0,9284577,12764399,274078,529280.18,NA,0.092,0.126,41.43271822517106,9646,34677,4201,32906,46.1,0.5036149555876885,0.19399999999999998,0.0020733982998133943,FALSE,FALSE
American Canyon,Napa,94503,Low,78.79,0.7790353151347466,0.6576000000000001,0.275,147,0.45,0.28,7.34,0.07,0.32,0.77,0.04,0.03,0.15,0.5,8299397,1130530,12518958,45049623,0.14,9582105,21062425,7535199,7878782,9582105,17892356,19247202,20344391,14555212,0,27031513,34921703,1890220,1501334.9,6923268,0.0522,0.087,58.99447811945594,135280,46018,88602,46726,39.7,0.4994982971399275,0.312,0.0010866351271437019,FALSE,TRUE
Anaheim,Orange,92805,Moderate,50.3,0.8640684252298959,0.6275,0.4654,2109,0.13,1.54,2.18,0.07,0.58,0.71,0.06,0.1,0.14,0.33,47526000,21817000,2005727000,1302053000,0.15,58676000,434957000,44392000,52564000,58676000,365976000,389799000,412996000,761026000,0,1977352404,2767653907,75598000,128839008.14,184851000,0.0504,0.09,61.05356160682812,2987177,46620,1899261,52787,36.2,0.4945764175276148,0.366,7.060177552250837e-4,FALSE,TRUE
Anderson,Shasta,96007,Moderate,64.11,0.735475342080671,0.6183,0.5178,150,0.42,0.29,0.52,0.11,0.87,0.73,0.07,0.13,NA,NA,288491,554542,4246586,14892529,0.04,3600481,8664657,3425688,2957093,3600481,7798830,8001944,9507180,11559361,1470350,33432788,45955240,1107866,1957797.21,NA,0.0924,0.149,36.107124927374365,177279,33020,86195,37357,41.8,0.49164038121893006,0.193,8.46123906384851e-4,FALSE,FALSE
Angels Camp,Calaveras,95222,Low,75.88,0.8044205157268348,0.6684,0.5853,30,0.6,0.45,5.67,0.08,0.54,0.74,0.07,0.09,0.4,0.01,1727552,304912,4338372,9643213,0.35,2119885,3512961,1169285,1549696,2119885,3024334,3419248,3506079,5183842,0,16141344,21797446,644318,878831.41,3831121,0.0826,0.142,22.503115468409586,45900,35508,15601,34054,49.2,0.5007240335249462,0.20800000000000002,6.5359477124183e-4,FALSE,FALSE
