city_name,overall_risk,general_fund_reserves_risk,debt_burden_risk,liquidity_risk,revenue_trends_risk,pension_obligations_risk,pension_funding_risk,pension_costs_risk,future_pension_costs_risk,opeb_obligations_risk,opeb_funding_risk,overall_points,general_fund_reserves_points,debt_burden_points,liquidity_points,revenue_trends_points,pension_obligations_points,pension_funding_points,pension_costs_points,future_pension_costs_points,opeb_obligations_points,opeb_funding_points,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,population,unemployment_rate,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,end_year,county_name,zip,entity_name,eligible,total_registered,democratic,republican,american_independent,green,libertarian,peace_and_freedom,unknown,other,no_party_preference,AMI
Adelanto,Moderate,MODERATE,HIGH,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,HIGH,60.31,12.22,0,10,3.75,10,4.9,4.72,4.72,10,0,0.36,2.68,2.51,0.1,0.01,0.98,0.01,0.01,0.07,0,33952,0.089,7210084,2872017,83171017,31027261,-0.07,5330502,14646146,6082187,5731392,5330502,8355766,8817151,10028361,212219,0,10049454,10216644,274614,244029.73,2104562,2017,San Bernardino,92301,Adelanto,1331471,1102687,450725,328307,42655,3437,10315,6782,6675,6643,247148,87400
Agoura Hills,Low,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,HIGH,83.48,23.86,11.66,10,3.13,10,3.9,4.44,3.89,10,2.6,0.65,0.6,5.96,0.05,0.16,0.78,0.02,0.04,0.04,0.52,20572,0.041,6375751,1070152,14608262,24156092,0.06,10160346,15534095,9083645,9673733,10160346,13933165,14444880,15178539,3747628,0,15530848,19836191,392645,849585.77,954000,2017,Los Angeles,91301,Agoura Hills,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Alameda,Moderate,LOW,MODERATE,LOW,MODERATE,HIGH,HIGH,MODERATE,HIGH,MODERATE,HIGH,67.82,22.89,12.99,10,3.25,3.6,3.2,3.06,0.83,8,0,0.58,0.44,7.32,0.06,1.05,0.64,0.07,0.15,0.5,0,79037,0.035,44501256,6083033,99469875,224442791,0.21,48820249,84438282,33165670,39609079,48820249,79961255,85635629,89608872,236532016,0,457147662,719545942,15796157,32718703.71,112987000,2017,Alameda,94501,Alameda,1092044,966809,574959,106702,19331,5249,5745,3543,91,5521,245668,142800
Albany,Moderate,LOW,MODERATE,LOW,LOW,MODERATE,MODERATE,LOW,HIGH,LOW,HIGH,66.15,18.16,9.83,10,4.13,5.84,3.75,3.61,0.83,10,0,0.46,0.82,8.82,0.13,0.77,0.75,0.05,0.15,0.06,0,20076,0.031,7608302,862968,24868418,30473670,0.39,NA,NA,5951698,8264362,NA,16886655,19138569,NA,23349678,0,80153725,107235198,1580847,4703235.69,1906983,2017,Alameda,94706-2226,Albany,1092044,966809,574959,106702,19331,5249,5745,3543,91,5521,245668,142800
Alhambra,Moderate,MODERATE,MODERATE,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,57.42,13.36,13.08,10,2.63,2.4,3.45,2.22,0.28,10,0,0.36,0.43,4.13,0.01,1.2,0.69,0.1,0.17,0.19,0,84878,0.041,20605182,4985084,47527009,110404579,0.08,23248704,64711655,19912395,22949740,23248704,61772949,60667370,63229195,132777440,0,306596426,441407234,10665610,18556231.59,21448000,2017,Los Angeles,91802-2351,Alhambra,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Aliso Viejo,Low,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,HIGH,92.17,30,15,10,3.63,10,4.1,4.72,4.72,10,0,1.72,0.01,22.48,0.09,0.03,0.82,0.01,0.01,0.01,0,50982,0.032,25911474,1152585,143672,24552072,0.11,26935544,15619781,21787988,23800171,26935544,15874271,16559243,18675228,845320,0,4643910,5642834,179320,325013.36,191081,2017,Orange,92656-5335,Aliso Viejo,2000842,1772700,648537,606174,50404,5078,17899,5961,2257,4955,431435,119100
Alturas,Low,LOW,MODERATE,LOW,MODERATE,MODERATE,MODERATE,LOW,MODERATE,LOW,LOW,77.91,20.52,11.16,10,3.63,7.28,3.65,4.17,2.5,10,5,0.52,0.66,13.21,0.09,0.59,0.73,0.03,0.09,NA,NA,2551,0.091,487717,36927,3253492,4963189,0.48,650015,1257000,296670,424161,650015,1246960,1319017,1457854,2935529,0,8439799,11582632,159120,463795.29,NA,2017,Modoc,96101,Alturas,7293,5338,1136,2900,288,20,56,23,5,17,893,80300
American Canyon,Low,MODERATE,LOW,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,HIGH,71.51,12.01,13.49,10,3,9.6,3.8,3.89,4.17,10,1.55,0.35,0.38,4.68,0.04,0.3,0.76,0.04,0.03,0.22,0.31,20055,0.048,5529455,1181815,16582647,44057482,-0.05,7535199,21234014,8360892,8899871,7535199,16821961,18420124,17892356,13034648,0,22263763,29359785,1622731,1318223.72,9633434,2017,Napa,94503-1100,American Canyon,90729,84845,41749,18434,2773,460,908,298,528,304,19391,119400
Anaheim,Moderate,HIGH,HIGH,LOW,MODERATE,MODERATE,MODERATE,LOW,HIGH,LOW,HIGH,47.53,4.04,2.08,9.35,3.63,7.6,3.55,3.61,2.22,10,1.45,0.11,1.75,1.87,0.09,0.55,0.71,0.05,0.1,0.16,0.29,350476,0.038,40192000,21544000,2106745000,1205797000,0.06,44392000,402151000,40128000,47292000,44392000,312716000,349420000,365976000,667813000,0,1793481996,2534550976,63228000,115273992.16,191456000,2017,Orange,92805,Anaheim,2000842,1772700,648537,606174,50404,5078,17899,5961,2257,4955,431435,119100
Anderson,Low,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,LOW,74.55,20.13,13.66,10,3.5,4.16,3.65,3.06,1.39,10,5,0.51,0.36,5.45,0.08,0.98,0.73,0.07,0.13,NA,NA,10369,0.053,2286382,419617,4606034,12790502,0.66,3425688,6760668,1282524,2492285,3425688,6673925,7571478,7798830,10077217,2511358,29863986,41078765,841146,1707384.73,NA,2017,Shasta,96007,Anderson,133777,111243,25805,55389,4785,383,1417,410,93,364,22597,89800
Angels Camp,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,62.27,11.81,11.75,10,3.5,7.52,3.65,3.06,1.94,9.04,0,0.34,0.59,2.93,0.08,0.56,0.73,0.07,0.11,0.37,0,3881,0.002,1030906,352439,5025811,8520155,-0.03,1169285,3412341,1239164,1192416,1169285,2604839,2851954,3024334,4760511,0,14158940,19319054,609893,928674.69,3192287,2017,Calaveras,95222-0667,Angels,35949,31364,8537,14440,1489,150,520,100,143,270,5715,90000
Antioch,Low,LOW,LOW,LOW,MODERATE,MODERATE,HIGH,MODERATE,HIGH,MODERATE,HIGH,72.67,24.87,15,10,2.88,4.48,3.45,2.78,0.83,7.68,0.7,0.63,0.14,6.93,0.03,0.94,0.69,0.08,0.15,0.54,0.14,111494,0.048,29032274,4191471,15458012,108054259,0.34,30795315,48524352,17140539,22679966,30795315,50604405,57146681,52854264,101728332,0,244892465,353426968,9183448,16016579.88,58121753,2017,Contra Costa,94531-5007,Antioch,758611,703021,369254,134553,20406,2700,5529,2545,2809,2178,163047,142800
Apple Valley,Moderate,HIGH,LOW,HIGH,MODERATE,LOW,MODERATE,LOW,LOW,LOW,HIGH,52.56,1.9,15,0.85,2.88,10,3.6,4.44,3.89,10,0,0.06,0.17,0.17,0.03,0.19,0.72,0.02,0.04,0.02,0,72871,0.056,220933,1298466,10993572,65621346,-0.46,1766647,28291172,8190121,6683436,1766647,22336034,23081714,23743085,12162986,0,33156095,46344050,1331946,2305496.92,1149046,2017,San Bernardino,92307,Apple Valley,1331471,1102687,450725,328307,42655,3437,10315,6782,6675,6643,247148,87400
