city,county,Employees,zipcode,overall_risk,overall_points,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,population,unemployment_rate,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_voter_reg_08,county_college_2008_12,county_avg_unemployed_05_09,county_per_cap_gdp_08,county_pop_08,county_per_cap_income_08,county_per_cap_1099_income_08,county_n_jobs_08,county_avg_wage_08,county_med_age_08,county_med_age_m_08,county_med_age_f_08,county_prop_m_08,county_prop_f_08
Adelanto,San Bernardino,60,92301,Moderate,47.91,0.17,2.45,0.63,0.24,0.01,0.99,0.01,0.01,0.06,0,34070,0.078,6025008,9510684,87865771,35888971,-0.22,3343368,19516234,5731392,5330502,3343368,8817151,10028361,13290197,212219,0,10750768,10820212,291674,320287.01,2077059,0.674809046,0.186,0.0736,34.97512396,2003735,29988,4061,885185,41008,31.7,30.6,32.8,0.497003749,0.502996251
Agoura Hills,Los Angeles,117,91301,Low,84.79,0.69,0.66,6.38,0.05,0.21,0.79,0.02,0.04,0.05,0.58,20411,0.042,8458172,1324741,14294955,21498499,0.06,10736584,15518095,9673733,10160346,10736584,14444880,15178539,15994083,4479822,0,16619716,21014525,443161,879860.94,1044000,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Alameda,Alameda,896,94501,Moderate,60.49,0.37,0.39,6.25,0.07,1.07,0.66,0.07,0.13,0.41,0.1,78344,0.029,38800355,6203617,98100747,249618378,0.03,40426963,110738131,39609079,48820249,40426963,85635629,89608872,97332735,267509627,0,492132792,750220024,17181092,32501114.15,102956607,0.813018889,0.411,0.0622,62.71487157,1477208,48524,8583,903624,60165,36.6,35.6,37.5,0.490357691,0.509642309
Alhambra,Los Angeles,658,91802,Moderate,60.14,0.39,0.37,3.28,0.04,1.15,0.71,0.1,0.15,0.19,0,84373,0.039,16871235,5148475,45317524,122535914,0.04,24968370,64760335,22949740,23248704,24968370,60667370,63229195,65023238,140681137,0,325547394,461713970,12048809,18579974.73,23641000,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Aliso Viejo,Orange,37,92656,Low,92.52,1.78,0.01,15.11,0.11,0.04,0.84,0.01,0.01,0.03,0,51206,0.026,29971042,1983717,174741,25385215,0.13,30335238,17019323,23800171,26935544,30335238,16559243,18675228,20217610,1041373,0,5049753,5978037,270996,330774.08,650474,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
Alturas,Modoc,48,96101,Moderate,69.86,0.41,0.7,14.49,0.03,0.75,0.74,0.06,0.11,NA,NA,2523,0.086,449104,30996,3069457,4388141,0.22,585872,1440937,424161,650015,585872,1319017,1457854,1376792,3278160,0,8992826,12232697,268500,482904.96,NA,0.79800029,0.194,0.092,38.41137054,9551,33061,5674,4268,31980,46.1,45.3,46.9,0.503613463,0.496386537
American Canyon,Napa,193,94503,Low,72.07,0.38,0.25,1.36,0.03,0.25,0.77,0.03,0.02,0.12,0.46,20211,0.039,2845544,2093876,14789506,59567694,-0.05,7878782,20750223,8899871,7535199,7878782,18420124,17892356,19247202,14854382,0,23824676,31103851,1718705,1419528.36,7014020,0.779035315,0.312,0.0522,60.9191233,134093,47613,12170,91679,46528,39.7,38.2,41,0.49939187,0.50060813
Anaheim,Orange,3515,92805,Moderate,48.33,0.13,1.7,2.22,0.06,0.64,0.71,0.05,0.1,0.15,0.31,350698,0.031,40872000,18434000,2077467000,1224278000,0.06,52564000,410602000,47292000,44392000,52564000,349420000,365976000,389799000,777745000,0,1897117860,2658142985,66792000,116623490.8,186652000,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
Anderson,Shasta,80,96007,Moderate,66.39,0.35,0.34,3.31,0.03,1.05,0.73,0.07,0.14,NA,NA,10486,0.046,1430694,432741,4367444,12980666,0.12,2957093,8438488,2492285,3425688,2957093,7571478,7798830,8001944,11612376,2010350,31842166,43401176,937692,1784979.56,NA,0.735475342,0.193,0.0924,36.57339758,177247,32788,5850,90773,37062,41.8,40.2,43.4,0.491640476,0.508359524
Angels Camp,Calaveras,84,95222,Moderate,70.87,0.46,0.47,5.31,0.1,0.56,0.74,0.06,0.08,0.35,0.01,3911,0.001,1149292,216555,4575175,9827390,0.16,1549696,3388089,1192416,1169285,1549696,2851954,3024334,3419248,5454668,0,15099850,20411943,620116,835071.73,3413396,0.804420516,0.208,0.0826,23.32746136,46265,36299,8488,16738,33340,49.2,48.4,49.9,0.500724034,0.499275966
